11 OD,35000
T1 OBE,29000
74 ROB,28000
ROB 60,28000
ROB 32T,25000
35 ST,24900
89 ED,19800
J31 NNY,18000
94 HW,16400
996 V,15900
TOB 8E,15000
85 RG,14900
98 TA,14900
F10 RAS,11900
460 W,11500
53 LO,11000
46 TO,9800
9000 G,9700
TOB 88E,8900
6538 J,7900
M4 CKC,7500
2 TPO,7000
H33 RBY,6500
1824 D,6500
896 IJ,6400
MJC 810,4800
J2 LEE,4750
1101 RD,4500
550 BOB,4500
JP 9219,4500
MJW 4C,4500
3303 JW,4400
SON 19Y,4400
V7 TOS,4400
JS 6122,4000
3 TXK,3900
W2 SJM,3600
1535 MM,3500
RON 273,3500
SYB 31L,3500
5193 R,3500
G8 YLS,3500
1036 MW,3400
6983 IJ,3400
7471 KD,3400
EM 7977,3400
F24 NKC,3400
K31 ELY,3400
K31 LSO,3400
7637 R,3400
FRZ 97,3400
J2 EMS,3400
RIB 98,3400
6673 SC,3250
FAR 77Y,3000
J1 CAB,3000
L44 RDY,2900
PJH 6L,2900
3408 NW,2800
H54 LLY,2800
N31 WBY,2800
TER 21Y,2800
G2 JUL,2800
TEZ 82,2800
C9 BBY,2750
VET 2Y,2750
W4 LJH,2650
6629 MG,2500
L88 JOE,2500
LS 3019,2500
P37 TES,2500
P83 GUM,2500
P7 OON,2500
S6 JRH,2500
D23 MEL,2400
G21 MLY,2400
G24 VEY,2400
H24 ANA,2400
HUN 71W,2400
J63 ADE,2400
K23 ELY,2400
L28 YLA,2400
L36 WAX,2400
N18 BSY,2400
N24 OAH,2400
N28 OAH,2400
N31 EAL,2400
RAZ 149,2400
ROS 57Y,2400
V31 GAS,2400
A4 MCM,2400
A4 VON,2400
A8 NAB,2400
B2 PJD,2400
C1 AGE,2400
C4 LJC,2400
D9 OLY,2400
G8 SEA,2400
J2 PJC,2400
K6 MJD,2400
LXI 94,2400
M4 JMS,2400
N8 SJA,2400
OLZ 97,2400
REZ 97,2400
RIL 86,2400
S8 OTY,2400
TIB 78,2400
V2 JUL,2400
W4 JJS,2400
W8 KAY,2400
X6 AJF,2400
Y8 SMW,2400
K31 LOG,2200
G6 JAB,2200
T7 LJS,2200
Y9 LJS,2200
2247 TW,2000
H24 JON,2000
JRE 68N,2000
YJZ 911,2000
L9 DMR,2000
W7 MPS,2000
Y4 MCM,2000
